company,address,report publication year,internal manufacturing site
Corning Incorporated,"No. 33, Section 2, Haun Dong Road Tainan Science-based Industrial Park Tainan County Tainan, Taiwan",2013,TRUE
Corning Incorporated,"Rues Saint Laurent F-77167 Bagneaux-sur-Loing Bagneaux, France",2013,TRUE
Cowell Optic Electronics Ltd.,"No. 1, Songbai R/D, Huanan Ind. Zone, Liaobu Dongguan, Guangdong China",2013,TRUE
Cymmetrik Shenzen Printing Co.,"8th Factory, Industrial Park of Weishi County Kaifeng, Henan China",2013,TRUE
Cymmetrik Shenzen Printing Co.,"No. 168, Chunyang Road, Lujia Town Kunshan, Jiangsu China",2013,TRUE
Cymmetrik Shenzen Printing Co.,"Xinhua Road, Xingwei Community, Fuyong Street, Baoan Shenzhen, Guangdong China",2013,TRUE
Cypress Semiconductor Corporation,"2401 East 86th Street Bloomington, Minnesota USA",2013,TRUE
Cypress Semiconductor Corporation,"Gateway Business Park, SEPZA, Barangay, Javalera, General Trias Cavite, Philippines",2013,TRUE
"Dai-Ichi Seiko Co., Ltd.","100 Baiyun Road, Minhang(SMEDZ)Shanghai, China",2013,TRUE
"Dai-Ichi Seiko Co., Ltd.","12 Hokuryo-cho Matsue, Shimane Japan",2013,TRUE
"Dai-Ichi Seiko Co., Ltd.","169 Bei Dou Road,Minhang (SMEDZ)Shanghai, China",2013,TRUE
"Dai-Ichi Seiko Co., Ltd.","2455-1 Takata, Chikuzen-machi Asakura-gun, Fukuoka Japan",2013,TRUE
"Dai-Ichi Seiko Co., Ltd.","55 Yishun Industrial Park A, Singapore",2013,TRUE
"Dai-Ichi Seiko Co., Ltd.","863 Mitsusawa Ogori, Fukuoka Japan",2013,TRUE
"Dai-Ichi Seiko Co., Ltd.","Block 2 Woodlands Sector 1, #01-24, Woodlands Spectrum 1, Singapore",2013,TRUE
"Daikin Industries, Ltd.","1-1, Nishi-Hitotsuya, Settsu, Osaka, Japan",2013,TRUE
"Daikin Industries, Ltd.","2252 State Docks Road,Decatur, Alabama USA",2013,TRUE
Daishinku Corporation (Kds),"20013-2 Kawaminami Kawaminami-cho Koyu-Gun, Miyazaki Japan",2013,TRUE
Daishinku Corporation (Kds),"2082 Maesaka Kurodasho-cho Nishiwaki, Hyogo Japan",2013,TRUE
